date,open,close,high,low,volume,MA5,macd_line,signal_line,rsi_14,target
2023-01-16,4077.879,-0.11837456022806349,4076.639,4137.964,-0.10745568552606878,-0.30454179629828565,0.9364008429701984,0.5735792686314878,2.191672128550057,-0.0068276968923924874
2023-01-17,4138.843,-0.16843935384009617,4118.157,4137.242,-1.0522499145680904,-0.2629428750750268,1.0536297667804597,0.6830158520385465,1.7924169894443394,0.0006927664957487867
2023-01-18,4140.102,-0.16339425507288124,4125.769,4130.314,-1.2428158245760261,-0.22488944251122617,1.1372240546232766,0.7883878325455288,1.8812902002944607,0.0010960004894666753
2023-01-19,4125.577,-0.15540705973856309,4105.98,4156.008,-1.0669607564051717,-0.18061661431624812,1.1959718697658739,0.8852107404102255,2.0904990095020684,0.008138338521003874
2023-01-20,4166.844,-0.09603323385007179,4161.67,4181.527,-0.577883313402979,-0.1399590013157475,1.2775165875500487,0.9800548020548562,2.112991157868817,0.018693116739076032
2023-01-30,4267.625,0.0414536069805014,4197.86,4201.345,0.1157748620610688,-0.10789606414189803,1.4412554652281098,1.0908399863319111,2.2030321689650103,-0.012983839375917294
2023-01-31,4200.581,-0.055826921336398716,4153.048,4156.858,-0.5610370186073479,-0.08530501894991518,1.4713797762230432,1.185890785187971,1.6579599217117678,-0.003988382843924332
2023-02-01,4170.132,-0.08532161496435609,4137.766,4195.933,-0.2829516683200155,-0.06964296013690592,1.453111382939447,1.258036512872286,1.3397829599156872,0.002735744350541358
2023-02-02,4207.412,-0.06517106216377656,4170.557,4181.149,-0.4043570284599468,-0.051540824752444175,1.438614759066089,1.3126623434294338,1.29624198142368,-0.010787153718247788
2023-02-03,4162.026,-0.14484289676671142,4103.165,4141.632,-0.6879235503982929,-0.06133247276358866,1.3438378474534844,1.336156103643531,0.838740954498894,-0.013474447300425352
2023-02-06,4103.831,-0.24328902897415772,4065.222,4086.878,-0.8036396072444122,-0.11845435188403786,1.1715576200731186,1.3182201190398346,0.42858465561388537,0.00034072546027785755
2023-02-07,4098.312,-0.24083318583729763,4077.962,4094.234,-1.1218462432313059,-0.15556823699616856,1.0248212951660158,1.2725864243658425,0.37589979892144754,0.0010057594396768454
2023-02-08,4099.857,-0.23358151464475485,4072.647,4076.141,-1.2329236746488612,-0.1853104778782176,0.9037770732728232,1.2102722445045504,0.4764450285312012,0.004714123276926108
2023-02-09,4067.563,-0.19955781794810748,4064.749,4130.857,-0.9371688805772468,-0.212269643981196,0.8266091661257589,1.1439683228416277,0.35800001696850475,-0.0013479043210646857
2023-02-10,4124.099,-0.20933203852425772,4092.347,4106.31,-1.0313371789478667,-0.22520673346098458,0.7481039844786436,1.0741874942293308,-0.3450607821802351,0.005129580012454893
2023-02-13,4098.88,-0.17218543622326857,4092.273,4143.574,-0.48767657900138667,-0.21094272689052884,0.7086475931310098,1.009950534423279,0.016992025178214038,0.00135031171242872
2023-02-14,4151.247,-0.1623567973931923,4125.258,4145.29,-0.933621805756578,-0.19519967260754736,0.6774107503914439,0.951901117898027,0.03724528012850037,0.00040148851807875197
2023-02-15,4146.855,-0.15943049967400313,4115.967,4123.689,-0.6098059729962902,-0.18032432631591508,0.6472028651090845,0.8990211147938157,0.015808203787193796,0.0034147736629079883
2023-02-16,4125.409,-0.13453151536148472,4068.859,4093.488,0.026282665656090803,-0.16727947764564383,0.6365033468943931,0.85443592234329,-0.13999272520311745,-0.015177907339427366
2023-02-17,4086.224,-0.24557986192169173,4032.929,4034.507,-0.703107326533306,-0.17455111007801918,0.5276274922983167,0.7955549000848248,-1.3163844516310417,0.007362886879239028
2023-02-20,4039.962,-0.19252733062636157,4035.476,4133.49,0.06825192649551624,-0.17863187314772222,0.48017820741222744,0.7383336611029127,-0.6643480464369577,0.004096146376831866
2023-02-21,4130.063,-0.1627956542796933,4116.272,4144.354,-0.20240213738568297,-0.17871991170203963,0.46191154969324655,0.6886621285477721,-0.3620898550871763,-0.0040760643759487625
2023-02-22,4118.967,-0.1925027546407173,4101.86,4106.951,-0.9033701468895355,-0.1853544971553771,0.41705645204865893,0.6393615748220299,-0.6045623714346984,-0.0006012272193893775
2023-02-23,4106.214,-0.19686674752008285,4088.207,4103.646,-0.9156267148581824,-0.19785949341057457,0.37305503132159595,0.5905398122820764,-0.27069855914997265,-0.0072067254058788555
2023-02-24,4100.99,-0.24914513526762563,4048.237,4061.046,-0.9591434457824981,-0.1985747186258456,0.2901919007232805,0.5338155747934804,-0.005155756799357075,-0.008672286342666369
2023-02-27,4040.457,-0.31160149192689957,4034.524,4043.844,-1.0808288999508973,-0.22246204349159376,0.1693222820227544,0.4626661869409169,-0.36788588863984795,0.001778693542954013
2023-02-28,4058.13,-0.2989027290591073,4026.448,4069.459,-0.80142828879827,-0.2497663207274966,0.08284426380180265,0.38730913736159756,-0.33278713168124724,0.015025290457368445
2023-03-01,4068.733,-0.1914407209753857,4061.217,4126.942,-0.029387919139082334,-0.2495532674260491,0.10347045617873794,0.3314211034750355,0.07222178151169295,0.00042848703693709744
